2026-08-04 16:33:18,615 | INFO | MainThread | epoch 79 dev metrics: st1_macro_f1=0.606, st2_macro_f1=0.637, st3_macro_f1=0.411, st3_family_macro_f1=0.593, mean_macro_f1=0.551
2026-08-04 16:35:01,356 | INFO | MainThread | epoch 80: mean train loss = 0.0797
2026-08-04 16:35:11,252 | INFO | MainThread | epoch 80 dev metrics: st1_macro_f1=0.595, st2_macro_f1=0.602, st3_macro_f1=0.420, st3_family_macro_f1=0.585, mean_macro_f1=0.539
2026-08-04 16:36:54,243 | INFO | MainThread | epoch 81: mean train loss = 0.0770
2026-08-04 16:37:04,139 | INFO | MainThread | epoch 81 dev metrics: st1_macro_f1=0.604, st2_macro_f1=0.609, st3_macro_f1=0.425, st3_family_macro_f1=0.585, mean_macro_f1=0.546
2026-08-04 16:38:46,985 | INFO | MainThread | epoch 82: mean train loss = 0.0750
2026-08-04 16:38:56,851 | INFO | MainThread | epoch 82 dev metrics: st1_macro_f1=0.611, st2_macro_f1=0.614, st3_macro_f1=0.446, st3_family_macro_f1=0.593, mean_macro_f1=0.557
2026-08-04 16:40:39,617 | INFO | MainThread | epoch 83: mean train loss = 0.0748
2026-08-04 16:40:49,564 | INFO | MainThread | epoch 83 dev metrics: st1_macro_f1=0.618, st2_macro_f1=0.623, st3_macro_f1=0.438, st3_family_macro_f1=0.596, mean_macro_f1=0.560
2026-08-04 16:42:32,195 | INFO | MainThread | epoch 84: mean train loss = 0.0685
